50.83,9.97,1.13,1002.84,1364.93,248.82,99.93,34.33,73.97,1127.73,64.23,1074.25,5.03
49.11,10.06,1.09,1017.92,1310,244.55,97.56,34.44,73.34,1114.55,65.46,1074.07,4.97
50.96,9.79,1.11,1014.22,1376.5,247.27,98,34.95,72.2,1112.6,65.27,1078.79,5.01
50.67,9.89,1.13,1027.02,1333.71,256.13,97.05,33.6,74.02,1102.5,65.04,1070.44,5.05
49.87,10.23,1.12,993.21,1311.57,247.83,97.38,34.16,72.96,1125.46,66.67,1044.71,4.95
51.45,10.16,1.1,1027.14,1331.89,245.29,97.04,34.35,74.77,1108.91,65.78,1069.67,4.88
51.13,9.83,1.07,980.98,1352,248.16,98.94,33.73,71.77,1089.05,64.47,1051.03,5.01
51.04,10.2,1.07,1014.35,1367,244.09,103,34.99,74.25,1073.09,67.37,1053.99,5.08
50.81,9.75,1.09,981.85,1384.04,244.12,102.24,33.92,74.12,1084.77,66.55,1028.49,4.94
51.29,10.01,1.09,990.64,1388.71,248.61,97.65,35.26,73.42,1126.68,65.96,1074.4,4.85
49.47,9.84,1.07,975.38,1380.8,244.88,99.76,34.61,71.15,1124,67.76,1067.42,4.97
49.88,9.74,1.08,977.49,1325.57,247.6,102.51,35.23,74.82,1112.84,65.66,1032.44,4.9
49.1,10.13,1.08,1009.96,1352.18,253.93,102.36,33.69,72.16,1091.56,66.37,1024.54,4.86
49.16,10.11,1.11,994.16,1382.34,245.54,101.84,33.5,71.13,1096.8,64.14,1075.01,4.92
49.52,9.92,1.1,988.59,1380.23,256.1,97.62,35.16,74.14,1078.86,65.45,1037.63,5.15
49.74,9.93,1.11,1021.65,1325.07,244.38,99.66,35.19,73.46,1092.23,67.12,1026.08,5.01
49.54,10.21,1.1,990.58,1336.37,256.59,97.92,35.41,73.72,1101.21,65.28,1063.67,4.92
50.8,10.08,1.09,1003.51,1352.06,249.96,98.72,34.01,70.91,1119.78,66.88,1079.4,5.1
50.4,9.92,1.12,991.97,1327.81,248.46,98.88,34.23,73.63,1083.92,64.65,1023,4.95
48.81,9.91,1.11,990.09,1372.56,254.03,97.52,35.35,71.34,1099.96,65.33,1021.45,5.15
50.58,9.83,1.11,1007.08,1337.25,242.54,101.87,35.28,74.3,1089.24,64.67,1025.42,4.86
49.52,10.27,1.08,1028.32,1313.39,249.5,99.36,33.8,74.21,1110.62,67.31,1038.91,4.99
48.65,10.21,1.12,984.65,1318.26,248.58,98.51,34.28,75.09,1084.73,66.05,1035.83,5.11
49.76,10.09,1.09,984.83,1364.32,256.23,99.24,34.1,73.43,1094.72,65.01,1079.83,5.13
50.62,10.2,1.09,983.8,1369.18,243.14,98.87,34.72,72.08,1120.72,65.55,1023.36,4.92
49.78,9.77,1.13,1005.2,1339.72,243.43,99.42,34.7,74.3,1073.18,67.59,1054.38,4.93
49.12,10.21,1.1,985.79,1354.52,252.44,101.8,35.28,72.74,1131.54,65.03,1034.74,5.05
48.76,10.22,1.09,1002.01,1346.15,244.86,97.12,33.52,71.99,1092.47,66.65,1047.09,4.99
51.27,9.85,1.08,1029.98,1339.65,251.55,101.98,35.19,74.23,1126.15,64.1,1040.03,5.14
50.12,9.79,1.13,1010.89,1327.61,254.5,98.72,33.9,74.99,1084.55,65.22,1080.42,4.91
50.41,9.77,1.1,988.78,1313.11,250.18,98.03,34.24,71.96,1119.16,64.53,1020.69,4.96
50.45,10.01,1.12,1009.66,1344.33,256.01,99.34,33.94,74.66,1098.77,67.81,1076.1,4.97
51.1,9.75,1.13,991.05,1384.43,245.15,97.38,34.13,72.15,1108.8,66.81,1019.08,5.03
49.05,9.88,1.1,1002.79,1324.67,250.72,102.82,33.82,74.48,1128.24,64.65,1067.03,5.01
49.53,10.17,1.13,976.47,1358.48,243.49,99.22,35.4,71.3,1129.25,66.01,1064.94,5.1
48.74,10.25,1.12,1003.86,1315.35,242.81,97.26,35.05,73.92,1100.15,65.42,1025.58,4.85
49.43,10.26,1.1,1026.23,1327.9,246.9,101.45,33.92,73.29,1072.98,64.53,1069.52,5.03
48.51,9.81,1.1,988.86,1354.13,254.53,101.56,34.71,71.09,1082.89,65.55,1071.35,5.09
49.22,10.29,1.1,978.54,1386.43,244.62,99.65,34.75,72.3,1076.04,66.65,1063.82,5
51,9.78,1.08,1020.48,1326.99,254.35,100.43,33.85,74.62,1120.84,66.33,1076.34,4.92
50.84,9.99,1.12,971.96,1316.58,253.99,98.98,34.99,71.35,1116.27,65.22,1058.67,4.91
49.24,10.02,1.11,990.77,1343.5,257.01,99.96,33.92,71.99,1090.69,65.26,1071.43,5.07
50.76,9.79,1.09,1005.43,1311.38,248.55,98.78,34.14,71.57,1093.81,65.71,1080.44,5.08
50,10.1,1.13,988.45,1323.12,248.22,97.46,35.13,73.71,1070.88,65.79,1064.63,4.87
51.14,9.89,1.09,982.85,1350.42,254.16,102,34.51,73.11,1105.56,64.92,1034.79,5.14
49.71,9.99,1.07,1001.55,1345.38,256.04,101.12,35.39,71.82,1123.25,65.03,1049.52,4.95
50.02,9.94,1.08,999.48,1358.65,254.61,99.82,34.26,71.73,1088.98,64.23,1066.78,4.92
49.85,10.09,1.08,997.38,1379.88,254.84,98.14,33.63,72.32,1094.21,64.82,1039.46,5.1
50.91,10.21,1.12,1024.18,1358.81,253.74,102.4,35.13,72.08,1105.1,65.59,1079.03,5.07
48.65,9.73,1.12,1026.98,1387,257.05,100.53,35.2,73.55,1069.17,67,1031.05,4.89
50.51,9.79,1.08,976.28,1384.31,249.11,101.44,34.6,74.48,1069.66,66.19,1061.69,5.14
49.9,10.13,1.1,985.88,1369.32,252.27,101.42,34.82,71.54,1080.69,66.47,1059.76,5.13
